Gene,V,F,R,T,O_max
Gene_77,1.0,8.0,4.694183864915572,8.5,0
Gene_76,1.0,8.0,4.377110694183865,8.5,0
Gene_75,1.0,8.0,5.867729831144466,8.5,0
Gene_74,1.0,8.0,3.7326454033771106,8.5,0
Gene_73,1.0,8.0,3.6838649155722325,8.5,0
Gene_72,1.0,8.0,4.329268292682927,8.5,0
Gene_71,1.0,8.0,5.882739212007505,8.5,0
Gene_70,1.0,8.0,5.075984990619137,8.5,0
Gene_69,1.0,8.0,5.406191369606004,8.5,0
Gene_68,1.0,8.0,4.184803001876173,8.5,0
Gene_67,1.0,8.0,4.093808630393996,8.5,0
Gene_66,1.0,8.0,5.9080675422138835,8.5,0
Gene_65,1.0,8.0,4.016885553470919,8.5,0
Gene_64,1.0,8.0,4.671669793621013,8.5,0
Gene_95,1.0,8.0,6.318011257035647,8.5,0
Gene_94,1.0,8.0,5.590056285178236,8.5,0
Gene_93,1.0,8.0,5.799249530956848,8.5,0
Gene_92,1.0,8.0,3.854596622889306,8.5,0
Gene_91,1.0,8.0,6.993433395872421,8.5,0
Gene_90,1.0,8.0,4.783302063789868,8.5,0
Gene_89,1.0,8.0,5.9399624765478425,8.5,0
Gene_88,1.0,8.0,4.1923076923076925,8.5,0
Gene_87,1.0,8.0,4.120075046904315,8.5,0
Gene_86,1.0,8.0,5.873358348968106,8.5,0
Gene_85,1.0,8.0,5.0159474671669795,8.5,0
Gene_84,1.0,8.0,5.51219512195122,8.5,0
Gene_83,1.0,8.0,6.427767354596623,8.5,0
Gene_82,1.0,8.0,4.772983114446529,8.5,0
Gene_81,1.0,8.0,4.50844277673546,8.5,0
Gene_80,1.0,8.0,3.554409005628518,8.5,0
Gene_111,1.0,8.0,4.8076923076923075,8.5,0
Gene_110,1.0,8.0,4.948405253283302,8.5,0
Gene_109,1.0,8.0,5.012195121951219,8.5,0
Gene_108,1.0,8.0,6.00844277673546,8.5,0
Gene_107,1.0,8.0,5.954971857410882,8.5,0
Gene_106,1.0,8.0,3.6341463414634143,8.5,0
Gene_105,1.0,8.0,4.567542213883677,8.5,0
Gene_104,1.0,8.0,4.902439024390244,8.5,0
Gene_103,1.0,8.0,5.1726078799249535,8.5,0
Gene_102,1.0,8.0,6.23921200750469,8.5,0
Gene_101,1.0,8.0,5.4399624765478425,8.5,0
Gene_100,1.0,8.0,5.318011257035647,8.5,0
Gene_99,1.0,8.0,4.362101313320825,8.5,0
Gene_98,1.0,8.0,4.044090056285178,8.5,0
Gene_97,1.0,8.0,5.232645403377111,8.5,0
Gene_96,1.0,8.0,5.193245778611633,8.5,0
Gene_127,1.0,8.0,6.1604127579737336,8.5,0
Gene_126,1.0,8.0,4.949343339587243,8.5,0
Gene_125,1.0,8.0,5.618198874296435,8.5,0
Gene_124,1.0,8.0,4.75234521575985,8.5,0
Gene_123,1.0,8.0,4.052532833020638,8.5,0
Gene_122,1.0,8.0,4.345215759849906,8.5,0
Gene_121,1.0,8.0,5.564727954971858,8.5,0
Gene_120,1.0,8.0,5.814258911819888,8.5,0
Gene_119,1.0,8.0,5.6313320825515945,8.5,0
Gene_118,1.0,8.0,4.493433395872421,8.5,0
Gene_117,1.0,8.0,4.679174484052533,8.5,0
Gene_116,1.0,8.0,5.129455909943715,8.5,0
Gene_115,1.0,8.0,5.171669793621013,8.5,0
Gene_114,1.0,8.0,5.180112570356473,8.5,0
Gene_113,1.0,8.0,6.526266416510319,8.5,0
Gene_112,1.0,8.0,5.091932457786116,8.5,0
Gene_143,1.0,8.0,4.5600375234521575,8.5,0
Gene_142,1.0,8.0,7.247654784240151,8.5,0
Gene_141,1.0,8.0,4.858348968105066,8.5,0
Gene_140,1.0,8.0,5.668855534709193,8.5,0
Gene_139,1.0,8.0,6.27298311444653,8.5,0
Gene_138,1.0,8.0,4.339587242026266,8.5,0
Gene_137,1.0,8.0,5.1679174484052535,8.5,0
Gene_136,1.0,8.0,3.681050656660412,8.5,0
Gene_135,1.0,8.0,4.850844277673546,8.5,0
Gene_134,1.0,8.0,6.350844277673547,8.5,0
Gene_133,1.0,8.0,4.670731707317072,8.5,0
Gene_132,1.0,8.0,4.477485928705441,8.5,0
Gene_131,1.0,8.0,4.431519699812383,8.5,0
Gene_130,1.0,8.0,5.157598499061914,8.5,0
Gene_129,1.0,8.0,6.700750469043152,8.5,0
Gene_128,1.0,8.0,4.147279549718574,8.5,0
Gene_159,1.0,8.0,5.716697936210132,8.5,0
Gene_158,1.0,8.0,4.032833020637899,8.5,0
Gene_157,1.0,8.0,4.681050656660412,8.5,0
Gene_156,1.0,8.0,5.106941838649156,8.5,0
Gene_155,1.0,8.0,6.23452157598499,8.5,0
Gene_154,1.0,8.0,6.391181988742964,8.5,0
Gene_153,1.0,8.0,4.993433395872421,8.5,0
Gene_152,1.0,8.0,5.457786116322701,8.5,0
Gene_151,1.0,8.0,4.621951219512195,8.5,0
Gene_150,1.0,8.0,4.042213883677298,8.5,0
Gene_149,1.0,8.0,4.2439024390243905,8.5,0
Gene_148,1.0,8.0,5.413696060037524,8.5,0
Gene_147,1.0,8.0,3.7973733583489677,8.5,0
Gene_146,1.0,8.0,5.115384615384615,8.5,0
Gene_145,1.0,8.0,5.611632270168856,8.5,0
Gene_144,1.0,8.0,3.084427767354596,8.5,0
Gene_175,1.0,8.0,5.407129455909944,8.5,0
Gene_174,1.0,8.0,3.9202626641651026,8.5,0
Gene_173,1.0,8.0,5.560975609756098,8.5,0
Gene_172,1.0,8.0,4.378048780487805,8.5,0
Gene_171,1.0,8.0,4.703564727954972,8.5,0
Gene_170,1.0,8.0,2.8986866791744834,8.5,0
Gene_169,1.0,8.0,3.9765478424015006,8.5,0
Gene_168,1.0,8.0,5.727954971857411,8.5,0
Gene_167,1.0,8.0,4.359287054409005,8.5,0
Gene_166,1.0,8.0,4.373358348968105,8.5,0
Gene_165,1.0,8.0,3.6848030018761726,8.5,0
Gene_164,1.0,8.0,4.834896810506566,8.5,0
Gene_163,1.0,8.0,3.114446529080675,8.5,0
Gene_162,1.0,8.0,5.215759849906192,8.5,0
Gene_161,1.0,8.0,4.99624765478424,8.5,0
Gene_160,1.0,8.0,5.909943714821764,8.5,0
Gene_191,1.0,8.0,4.100375234521576,8.5,0
Gene_190,1.0,8.0,4.6726078799249535,8.5,0
Gene_189,1.0,8.0,4.289868667917449,8.5,0
Gene_188,1.0,8.0,4.2757973733583485,8.5,0
Gene_187,1.0,8.0,5.041275797373358,8.5,0
Gene_186,1.0,8.0,5.861163227016886,8.5,0
Gene_185,1.0,8.0,5.272045028142589,8.5,0
Gene_184,1.0,8.0,5.904315196998123,8.5,0
Gene_183,1.0,8.0,6.198874296435272,8.5,0
Gene_182,1.0,8.0,4.893996247654784,8.5,0
Gene_181,1.0,8.0,5.859287054409005,8.5,0
Gene_180,1.0,8.0,5.440900562851782,8.5,0
Gene_179,1.0,8.0,4.579737335834897,8.5,0
Gene_178,1.0,8.0,4.912757973733584,8.5,0
Gene_177,1.0,8.0,4.081613508442777,8.5,0
Gene_176,1.0,8.0,5.703564727954972,8.5,0
Gene_207,1.0,8.0,4.348968105065666,8.5,0
Gene_206,1.0,8.0,4.01031894934334,8.5,0
Gene_205,1.0,8.0,4.556285178236398,8.5,0
Gene_204,1.0,8.0,5.738273921200751,8.5,0
Gene_203,1.0,8.0,5.151969981238274,8.5,0
Gene_202,1.0,8.0,5.039399624765478,8.5,0
Gene_201,1.0,8.0,3.796435272045028,8.5,0
Gene_200,1.0,8.0,5.946529080675422,8.5,0
Gene_199,1.0,8.0,4.968105065666041,8.5,0
Gene_198,1.0,8.0,4.01500938086304,8.5,0
Gene_197,1.0,8.0,5.640712945590995,8.5,0
Gene_196,1.0,8.0,4.565666041275797,8.5,0
Gene_195,1.0,8.0,4.99906191369606,8.5,0
Gene_194,1.0,8.0,5.957786116322702,8.5,0
Gene_193,1.0,8.0,4.553470919324577,8.5,0
Gene_192,1.0,8.0,5.481238273921201,8.5,0
Gene_223,1.0,8.0,3.796435272045028,8.5,0
Gene_222,1.0,8.0,3.816135084427767,8.5,0
Gene_221,1.0,8.0,4.962476547842401,8.5,0
Gene_220,1.0,8.0,5.242026266416511,8.5,0
Gene_219,1.0,8.0,4.374296435272045,8.5,0
Gene_218,1.0,8.0,4.884615384615384,8.5,0
Gene_217,1.0,8.0,5.274859287054409,8.5,0
Gene_216,1.0,8.0,3.4371482176360226,8.5,0
Gene_215,1.0,8.0,5.475609756097562,8.5,0
Gene_214,1.0,8.0,4.6313320825515945,8.5,0
Gene_213,1.0,8.0,4.580675422138837,8.5,0
Gene_212,1.0,8.0,4.076923076923077,8.5,0
Gene_211,1.0,8.0,4.396810506566604,8.5,0
Gene_210,1.0,8.0,5.326454033771108,8.5,0
Gene_209,1.0,8.0,5.196998123827392,8.5,0
Gene_208,1.0,8.0,6.335834896810506,8.5,0
Gene_239,1.0,8.0,4.5046904315197,8.5,0
Gene_238,1.0,8.0,5.901500938086304,8.5,0
Gene_237,1.0,8.0,5.152908067542214,8.5,0
Gene_236,1.0,8.0,5.302063789868669,8.5,0
Gene_235,1.0,8.0,5.966228893058162,8.5,0
Gene_234,1.0,8.0,4.733583489681051,8.5,0
Gene_233,1.0,8.0,4.869606003752345,8.5,0
Gene_232,1.0,8.0,4.916510318949343,8.5,0
Gene_231,1.0,8.0,4.468105065666041,8.5,0
Gene_230,1.0,8.0,5.836772983114447,8.5,0
Gene_229,1.0,8.0,4.378048780487805,8.5,0
Gene_228,1.0,8.0,7.280487804878049,8.5,0
Gene_227,1.0,8.0,4.9277673545966225,8.5,0
Gene_226,1.0,8.0,5.431519699812383,8.5,0
Gene_225,1.0,8.0,5.103189493433396,8.5,0
Gene_224,1.0,8.0,6.26078799249531,8.5,0
Gene_255,1.0,8.0,4.884615384615384,8.5,0
Gene_254,1.0,8.0,4.74202626641651,8.5,0
Gene_253,1.0,8.0,5.153846153846154,8.5,0
Gene_252,1.0,8.0,5.347091932457786,8.5,0
Gene_251,1.0,8.0,5.211069418386492,8.5,0
Gene_250,1.0,8.0,4.781425891181988,8.5,0
Gene_249,1.0,8.0,4.123827392120075,8.5,0
Gene_248,1.0,8.0,4.955909943714822,8.5,0
Gene_247,1.0,8.0,4.773921200750469,8.5,0
Gene_246,1.0,8.0,5.351782363977486,8.5,0
Gene_245,1.0,8.0,5.74202626641651,8.5,0
Gene_244,1.0,8.0,4.8442776735459665,8.5,0
Gene_243,1.0,8.0,6.115384615384616,8.5,0
Gene_242,1.0,8.0,3.9249530956848027,8.5,0
Gene_241,1.0,8.0,4.354596622889305,8.5,0
Gene_240,1.0,8.0,3.7570356472795496,8.5,0
Gene_271,1.0,8.0,5.198874296435272,8.5,0
Gene_270,1.0,8.0,4.714821763602251,8.5,0
Gene_269,1.0,8.0,4.038461538461538,8.5,0
Gene_268,1.0,8.0,4.658536585365853,8.5,0
Gene_267,1.0,8.0,4.016885553470919,8.5,0
Gene_266,1.0,8.0,4.691369606003752,8.5,0
Gene_265,1.0,8.0,4.132270168855535,8.5,0
Gene_264,1.0,8.0,5.23733583489681,8.5,0
Gene_263,1.0,8.0,5.541275797373358,8.5,0
Gene_262,1.0,8.0,6.5046904315197,8.5,0
Gene_261,1.0,8.0,5.49437148217636,8.5,0
Gene_260,1.0,8.0,3.4362101313320825,8.5,0
Gene_259,1.0,8.0,5.291744840525329,8.5,0
Gene_258,1.0,8.0,5.972795497185741,8.5,0
Gene_257,1.0,8.0,6.787054409005629,8.5,0
Gene_256,1.0,8.0,4.976547842401501,8.5,0
Gene_287,1.0,8.0,4.233583489681051,8.5,0
Gene_286,1.0,8.0,4.641651031894934,8.5,0
Gene_285,1.0,8.0,4.891181988742964,8.5,0
Gene_284,1.0,8.0,4.985928705440901,8.5,0
Gene_283,1.0,8.0,4.049718574108818,8.5,0
Gene_282,1.0,8.0,4.969981238273921,8.5,0
Gene_281,1.0,8.0,5.843339587242027,8.5,0
Gene_280,1.0,8.0,5.789868667917448,8.5,0
Gene_279,1.0,8.0,4.26078799249531,8.5,0
Gene_278,1.0,8.0,4.979362101313321,8.5,0
Gene_277,1.0,8.0,3.901500938086304,8.5,0
Gene_276,1.0,8.0,6.211069418386492,8.5,0
Gene_275,1.0,8.0,4.541275797373358,8.5,0
Gene_274,1.0,8.0,5.2363977485928705,8.5,0
Gene_273,1.0,8.0,3.939024390243902,8.5,0
Gene_272,1.0,8.0,4.344277673545966,8.5,0
Gene_303,1.0,8.0,5.9596622889305815,8.5,0
Gene_302,1.0,8.0,5.110694183864916,8.5,0
Gene_301,1.0,8.0,6.206378986866792,8.5,0
Gene_300,1.0,8.0,4.925891181988743,8.5,0
Gene_299,1.0,8.0,5.7636022514071295,8.5,0
Gene_298,1.0,8.0,6.150093808630395,8.5,0
Gene_297,1.0,8.0,5.887429643527204,8.5,0
Gene_296,1.0,8.0,3.823639774859287,8.5,0
Gene_295,1.0,8.0,5.119136960600375,8.5,0
Gene_294,1.0,8.0,5.1876172607879925,8.5,0
Gene_293,1.0,8.0,5.184803001876173,8.5,0
Gene_292,1.0,8.0,4.393058161350844,8.5,0
Gene_291,1.0,8.0,5.846153846153847,8.5,0
Gene_290,1.0,8.0,4.6163227016885555,8.5,0
Gene_289,1.0,8.0,4.4474671669793615,8.5,0
Gene_288,1.0,8.0,4.775797373358349,8.5,0
Gene_319,1.0,8.0,4.653846153846154,8.5,0
Gene_318,1.0,8.0,5.446529080675422,8.5,0
Gene_317,1.0,8.0,4.787054409005628,8.5,0
Gene_316,1.0,8.0,5.325515947467167,8.5,0
Gene_315,1.0,8.0,3.9596622889305815,8.5,0
Gene_314,1.0,8.0,3.0872420262664164,8.5,0
Gene_313,1.0,8.0,3.7213883677298307,8.5,0
Gene_312,1.0,8.0,5.191369606003753,8.5,0
Gene_311,1.0,8.0,5.147279549718574,8.5,0
Gene_310,1.0,8.0,4.215759849906191,8.5,0
Gene_309,1.0,8.0,5.870544090056286,8.5,0
Gene_308,1.0,8.0,4.9953095684803,8.5,0
Gene_307,1.0,8.0,5.678236397748593,8.5,0
Gene_306,1.0,8.0,4.380863039399625,8.5,0
Gene_305,1.0,8.0,6.3761726078799255,8.5,0
Gene_304,1.0,8.0,3.872420262664165,8.5,0
Gene_335,1.0,8.0,3.8780487804878048,8.5,0
Gene_334,1.0,8.0,4.981238273921201,8.5,0
Gene_333,1.0,8.0,4.3517823639774855,8.5,0
Gene_332,1.0,8.0,5.74108818011257,8.5,0
Gene_331,1.0,8.0,5.23452157598499,8.5,0
Gene_330,1.0,8.0,3.7326454033771106,8.5,0
Gene_329,1.0,8.0,5.566604127579737,8.5,0
Gene_328,1.0,8.0,5.8442776735459665,8.5,0
Gene_327,1.0,8.0,5.190431519699812,8.5,0
Gene_326,1.0,8.0,4.948405253283302,8.5,0
Gene_325,1.0,8.0,4.127579737335835,8.5,0
Gene_324,1.0,8.0,3.901500938086304,8.5,0
Gene_323,1.0,8.0,3.927767354596623,8.5,0
Gene_322,1.0,8.0,5.197936210131332,8.5,0
Gene_321,1.0,8.0,5.455909943714822,8.5,0
Gene_320,1.0,8.0,6.653846153846155,8.5,0
Gene_351,1.0,8.0,5.926829268292683,8.5,0
Gene_350,1.0,8.0,5.537523452157599,8.5,0
Gene_349,1.0,8.0,5.135084427767355,8.5,0
Gene_348,1.0,8.0,5.071294559099437,8.5,0
Gene_347,1.0,8.0,5.316135084427768,8.5,0
Gene_346,1.0,8.0,5.25046904315197,8.5,0
Gene_345,1.0,8.0,4.627579737335835,8.5,0
Gene_344,1.0,8.0,5.151031894934333,8.5,0
Gene_343,1.0,8.0,5.24671669793621,8.5,0
Gene_342,1.0,8.0,6.381801125703564,8.5,0
Gene_341,1.0,8.0,4.416510318949343,8.5,0
Gene_340,1.0,8.0,4.716697936210132,8.5,0
Gene_339,1.0,8.0,5.026266416510319,8.5,0
Gene_338,1.0,8.0,3.5300187617260788,8.5,0
Gene_337,1.0,8.0,3.9155722326454034,8.5,0
Gene_336,1.0,8.0,3.578799249530957,8.5,0
Gene_367,1.0,8.0,5.170731707317073,8.5,0
Gene_366,1.0,8.0,4.679174484052533,8.5,0
Gene_365,1.0,8.0,6.288930581613509,8.5,0
Gene_364,1.0,8.0,3.3170731707317067,8.5,0
Gene_363,1.0,8.0,5.677298311444653,8.5,0
Gene_362,1.0,8.0,5.554409005628518,8.5,0
Gene_361,1.0,8.0,5.075984990619137,8.5,0
Gene_360,1.0,8.0,4.799249530956848,8.5,0
Gene_359,1.0,8.0,5.046904315196999,8.5,0
Gene_358,1.0,8.0,4.330206378986866,8.5,0
Gene_357,1.0,8.0,6.056285178236398,8.5,0
Gene_356,1.0,8.0,4.446529080675422,8.5,0
Gene_355,1.0,8.0,4.285178236397749,8.5,0
Gene_354,1.0,8.0,4.928705440900563,8.5,0
Gene_353,1.0,8.0,5.99812382739212,8.5,0
Gene_352,1.0,8.0,4.8123827392120075,8.5,0
Gene_383,1.0,8.0,5.516885553470919,8.5,0
Gene_382,1.0,8.0,5.74202626641651,8.5,0
Gene_381,1.0,8.0,5.24765478424015,8.5,0
Gene_380,1.0,8.0,4.575984990619137,8.5,0
Gene_379,1.0,8.0,4.428705440900563,8.5,0
Gene_378,1.0,8.0,5.75515947467167,8.5,0
Gene_377,1.0,8.0,5.551594746716698,8.5,0
Gene_376,1.0,8.0,4.869606003752345,8.5,0
Gene_375,1.0,8.0,5.107879924953096,8.5,0
Gene_374,1.0,8.0,5.679174484052533,8.5,0
Gene_373,1.0,8.0,4.668855534709193,8.5,0
Gene_372,1.0,8.0,5.6876172607879925,8.5,0
Gene_371,1.0,8.0,5.121013133208256,8.5,0
Gene_370,1.0,8.0,3.730769230769231,8.5,0
Gene_369,1.0,8.0,5.159474671669794,8.5,0
Gene_368,1.0,8.0,3.342401500938086,8.5,0
Gene_399,1.0,8.0,4.525328330206379,8.5,0
Gene_398,1.0,8.0,4.836772983114447,8.5,0
Gene_397,1.0,8.0,5.126641651031894,8.5,0
Gene_396,1.0,8.0,4.772045028142589,8.5,0
Gene_395,1.0,8.0,4.439024390243903,8.5,0
Gene_394,1.0,8.0,4.335834896810507,8.5,0
Gene_393,1.0,8.0,5.519699812382739,8.5,0
Gene_392,1.0,8.0,4.835834896810506,8.5,0
Gene_391,1.0,8.0,4.633208255159475,8.5,0
Gene_390,1.0,8.0,4.49718574108818,8.5,0
Gene_389,1.0,8.0,4.23264540337711,8.5,0
Gene_388,1.0,8.0,5.297373358348968,8.5,0
Gene_387,1.0,8.0,4.75515947467167,8.5,0
Gene_386,1.0,8.0,4.978424015009381,8.5,0
Gene_385,1.0,8.0,4.477485928705441,8.5,0
Gene_384,1.0,8.0,4.481238273921201,8.5,0
Gene_415,1.0,8.0,6.1923076923076925,8.5,0
Gene_414,1.0,8.0,5.398686679174483,8.5,0
Gene_413,1.0,8.0,5.1876172607879925,8.5,0
Gene_412,1.0,8.0,6.970919324577861,8.5,0
Gene_411,1.0,8.0,5.5403377110694185,8.5,0
Gene_410,1.0,8.0,4.606941838649155,8.5,0
Gene_409,1.0,8.0,5.00750469043152,8.5,0
Gene_408,1.0,8.0,4.442776735459662,8.5,0
Gene_407,1.0,8.0,5.453095684803002,8.5,0
Gene_406,1.0,8.0,5.082551594746717,8.5,0
Gene_405,1.0,8.0,5.055347091932458,8.5,0
Gene_404,1.0,8.0,5.00750469043152,8.5,0
Gene_403,1.0,8.0,3.863977485928705,8.5,0
Gene_402,1.0,8.0,5.00562851782364,8.5,0
Gene_401,1.0,8.0,5.029080675422138,8.5,0
Gene_400,1.0,8.0,4.322701688555347,8.5,0
Gene_431,1.0,8.0,3.563789868667917,8.5,0
Gene_430,1.0,8.0,5.815196998123827,8.5,0
Gene_429,1.0,8.0,4.524390243902439,8.5,0
Gene_428,1.0,8.0,3.889305816135084,8.5,0
Gene_427,1.0,8.0,6.1285178236397755,8.5,0
Gene_426,1.0,8.0,4.2926829268292686,8.5,0
Gene_425,1.0,8.0,4.921200750469043,8.5,0
Gene_424,1.0,8.0,4.366791744840525,8.5,0
Gene_423,1.0,8.0,4.50093808630394,8.5,0
Gene_422,1.0,8.0,5.470919324577861,8.5,0
Gene_421,1.0,8.0,4.676360225140713,8.5,0
Gene_420,1.0,8.0,5.26735459662289,8.5,0
Gene_419,1.0,8.0,5.027204502814259,8.5,0
Gene_418,1.0,8.0,5.659474671669794,8.5,0
Gene_417,1.0,8.0,4.884615384615384,8.5,0
Gene_416,1.0,8.0,5.517823639774859,8.5,0
Gene_447,1.0,8.0,6.534709193245779,8.5,0
Gene_446,1.0,8.0,4.845215759849906,8.5,0
Gene_445,1.0,8.0,5.50187617260788,8.5,0
Gene_444,1.0,8.0,4.890243902439025,8.5,0
Gene_443,1.0,8.0,4.543151969981238,8.5,0
Gene_442,1.0,8.0,5.4596622889305815,8.5,0
Gene_441,1.0,8.0,4.745778611632271,8.5,0
Gene_440,1.0,8.0,3.389305816135084,8.5,0
Gene_439,1.0,8.0,3.1848030018761726,8.5,0
Gene_438,1.0,8.0,4.334896810506566,8.5,0
Gene_437,1.0,8.0,3.676360225140713,8.5,0
Gene_436,1.0,8.0,4.436210131332082,8.5,0
Gene_435,1.0,8.0,3.928705440900563,8.5,0
Gene_434,1.0,8.0,4.51219512195122,8.5,0
Gene_433,1.0,8.0,5.3198874296435275,8.5,0
Gene_432,1.0,8.0,5.197936210131332,8.5,0
Gene_463,1.0,8.0,4.610694183864916,8.5,0
Gene_462,1.0,8.0,5.76078799249531,8.5,0
Gene_461,1.0,8.0,5.556285178236397,8.5,0
Gene_460,1.0,8.0,4.037523452157599,8.5,0
Gene_459,1.0,8.0,5.783302063789869,8.5,0
Gene_458,1.0,8.0,4.824577861163227,8.5,0
Gene_457,1.0,8.0,2.921200750469043,8.5,0
Gene_456,1.0,8.0,4.436210131332082,8.5,0
Gene_455,1.0,8.0,5.407129455909944,8.5,0
Gene_454,1.0,8.0,5.808630393996248,8.5,0
Gene_453,1.0,8.0,5.360225140712945,8.5,0
Gene_452,1.0,8.0,5.954971857410882,8.5,0
Gene_451,1.0,8.0,5.467166979362101,8.5,0
Gene_450,1.0,8.0,4.024390243902439,8.5,0
Gene_449,1.0,8.0,4.928705440900563,8.5,0
Gene_448,1.0,8.0,5.348968105065666,8.5,0
Gene_479,1.0,8.0,4.99624765478424,8.5,0
Gene_478,1.0,8.0,5.385553470919325,8.5,0
Gene_477,1.0,8.0,7.113508442776736,8.5,0
Gene_476,1.0,8.0,6.52532833020638,8.5,0
Gene_475,1.0,8.0,5.521575984990619,8.5,0
Gene_474,1.0,8.0,4.936210131332083,8.5,0
Gene_473,1.0,8.0,5.48499061913696,8.5,0
Gene_472,1.0,8.0,5.682926829268293,8.5,0
Gene_471,1.0,8.0,5.570356472795497,8.5,0
Gene_470,1.0,8.0,4.49718574108818,8.5,0
Gene_469,1.0,8.0,4.684803001876173,8.5,0
Gene_468,1.0,8.0,4.333020637898687,8.5,0
Gene_467,1.0,8.0,6.309568480300188,8.5,0
Gene_466,1.0,8.0,4.907129455909944,8.5,0
Gene_465,1.0,8.0,4.9080675422138835,8.5,0
Gene_464,1.0,8.0,4.560975609756098,8.5,0
Gene_495,1.0,8.0,3.863977485928705,8.5,0
Gene_494,1.0,8.0,5.258911819887429,8.5,0
Gene_493,1.0,8.0,4.608818011257036,8.5,0
Gene_492,1.0,8.0,4.661350844277673,8.5,0
Gene_491,1.0,8.0,3.1885553470919326,8.5,0
Gene_490,1.0,8.0,3.971857410881801,8.5,0
Gene_489,1.0,8.0,3.4352720450281424,8.5,0
Gene_488,1.0,8.0,5.1923076923076925,8.5,0
Gene_487,1.0,8.0,3.9258911819887428,8.5,0
Gene_486,1.0,8.0,4.972795497185741,8.5,0
Gene_485,1.0,8.0,3.8320825515947465,8.5,0
Gene_484,1.0,8.0,3.2617260787992493,8.5,0
Gene_483,1.0,8.0,3.819887429643527,8.5,0
Gene_482,1.0,8.0,5.0084427767354605,8.5,0
Gene_481,1.0,8.0,5.022514071294559,8.5,0
